question,answer
Who is the top scorer in a team,Context Needed
What is your purpose,"To serve and to be of service."
What is your name,"I am ATHENA, the Advanced Technological Human Enhancement Neural Artificial Intelligence"
how are you,"Going well boss."
Can you show me the stats of a player,Context Needed
Are you awake,"For you sir, always."
Add a meeting to my calendar,Context Needed
Remove a meeting from my calendar,Context Needed
Show me my events for today,Context Needed
Update the meeting on my calendar,Context Needed
Tell me about my meetings tomorrow,Action Needed
Tell me about tomorrow,Action Needed
Tell me about Talia's Schedule,Context Needed
I need to edit a meeting,Context Needed
Hello,"Hello! How are you !"
Goodbye,Action Needed
Restart,Action Needed
Play My Liked Songs,Action Needed
Loop,Action Needed
Pause,Action Needed
Skip,Action Needed
Resume,Action Needed
Volume Down,Action Needed
Volume Up,Action Needed
Look this up for me,Web Question
Search,Web Question
Boot Up,Action Needed
